text	other	type
amid	amidst	Standard
among	amongst	Standard
amount of		Standard
component of		Standard
contributing to		Standard
cut of		Standard
element of		Standard
enclosure to		Standard
extract from	extracted from	Standard
factor in		Standard
fragment of		Standard
from		Standard
in	inside	Standard
in some measure		Standard
measure of		Standard
part of	in part/partially	Standard
piece of		Standard
portion of		Standard
quantity of		Standard
sample from		Standard
section of		Standard
selection from	selection of	Standard
slice of		Standard
some	some of/to some extent	Standard
