text	selection	example	type
50%	First or second half	50% chance = CHA or NCE	Standard
alpha and omega in	First and last letters	alpha and omega in that = TT	Standard
at first	First letter(s)	tired at first = T	Standard
at heart	Middle letter(s)	young at heart = U	Standard
at last	Last letter(s)	free at last = E	Standard
at the edges	First and last letters	frayed at the edges = FD	Standard
back from/of/off	Last letter	back from holiday = Y	Standard
backside of	Last letter	backside of Kim = M	Standard
banks of	First and last letters	banks of river = RR	Advanced
beginner in	First letter	beginner in class = C	Standard
beginning in/of/to	First letter	beginning of day = D	Standard
big end of	First letter (capital)	big end of Mondeo = M	Standard
bit of	First letter	bit of chocolate = C	Standard
borders of	First and last letters	borders of country = CY	Standard
both sides of	First and last letters	both sides of story = SY	Standard
bounds of	First and last letters	bounds of possibility = PY	Standard
butt of	Last letter	butt of joke = E	Standard
cap from/of	First letter	cap from boy = B	Standard
capital of	First letter (capital)	capital of Spain = S	Standard
case for/of	First and last letters	case for defence = DE	Standard
casing of	First and last letters	casing of shell = SL	Standard
central ingredient of	Middle letter	central ingredient of salad = L	Standard
centre for/of	Middle letter(s)	centre for tourists = RI	Standard
centrepiece of	Middle letter(s)	centrepiece of event = E	Standard
character facing	First letter	character facing trial = T	Standard
chump	Last letter	chump from Cambridge = E	Advanced
cleared out	First and last letters	they cleared out = TY	Standard
close of/to	Last letter	close to home = E	Standard
closer to	Last letter	closer to London = N	Standard
closure of	Last letter	closure of factory = Y	Standard
coasts of	First and last letters	coasts of France = FE	Standard
conclusion of/to	Last letter	conclusion of lesson = N	Standard
confines of	First and last letters	confines of ship = SP	Standard
core of	Middle letter(s)	core of reactor = C	Standard
cored	First and last letters	cored apple = AE	Standard
cover from/of	First and last letters	cover of magazine = ME	Standard
covering from/of	First and last letters	covering of snow = SW	Standard
crust from/of	First and last letters	crust of bread = BD	Standard
crux of	Middle letter(s)	crux of issue = S	Standard
discharged	First and last letters	discharged rifle = RE	Standard
disembowelled	First and last letters	disembowelled body = BY	Standard
disheartened	First and last letters	disheartened fans = FS	Standard
drained	First and last letters	drained vegetables = VS	Standard
drop of	First letter	drop of rum = R	Standard
early sign of	First letter	early sign of danger = D	Standard
early signs of	First two letters	early signs of revival = RE	Standard
edges of	First and last letters	edges of bat = BT	Standard
element of	First letter	element of risk = R	Standard
emptied	First and last letters	emptied bin = BN	Standard
empty	First and last letters	empty bottle = BE	Standard
end for/in/of/to	Last letter	end of term = M	Standard
ending in/of	Last letter	ending in chaos = S	Standard
environs of	First and last letters	environs of city = CY	Standard
essential character of	Middle letter	essential character of place = A	Standard
essential ingredient of	Middle letter	essential ingredients of cake = AK	Standard
essentially	Middle letter(s)	big eaters essentially = ITE	Standard
evacuated	First and last letters	evacuated building = BG	Standard
exhausted	First and last letters	man exhausted = MN	Standard
extreme of	Last letter	extreme of joy = Y	Standard
extremes of	First and last letters	extremes of emotion = EN	Standard
extremities of	First and last letters	lady's extremities = LY	Standard
face of	First letter	face of innocence = I	Standard
far side of	Last letter	far side of room = M	Standard
filleted	First and last letters	filleted cod = CD	Standard
final	Last letter	final of cup = P	Advanced
final bit from/of/off	Last letter	final bit of pudding = G	Standard
finale of/to	Last letter	finale of act = T	Standard
finally	Last letter(s)	finally seen = N	Standard
finish of/off/to	Last letter	finish of game = E	Standard
finishing touch for	Last letter	finishing touch for cake = E	Standard
first in/of/to	First letter	first of all = A	Standard
first pair of	First two letters	first pair of guests = GU	Standard
first show of	First letter	first show of colour = C	Standard
first sign of	First letter	first sign of life = L	Standard
flanks of	First and last letters	flanks of horse = HE	Standard
focus of	Middle letter	focus of attention = N	Standard
foremost in/of	First letter	foremost in group = G	Standard
fringe of	First letter	fringe of party = P	Standard
fringes of	First and last letters	fringes of society = SY	Standard
front of	First letter	front of house = H	Standard
glimpse of	First letter	glimpse of stocking = S	Standard
gutless	First and last letters	gutless wonder = WR	Standard
