text	function	type
abandoned	Adjective	Standard
aberrant	Adjective	Standard
abnormal	Adjective	Standard
abominable	Adjective	Standard
about	Adverb	Standard
abroad	Adverb	Standard
absurd	Adjective	Standard
abused	Past participle	Standard
abysmal	Adjective	Standard
abysmally	Adverb	Standard
acting	Present participle	Standard
activated	Past participle	Standard
active	Adjective	Standard
actively	Adverb	Standard
acts	Verb indicative	Standard
adapted	Adjective	Standard
adjusted	Past participle	Standard
adrift	Adjective	Standard
affected	Adjective	Standard
afflicted	Adjective	Standard
aggrieved	Adjective	Advanced
agitated	Adjective	Standard
agitating	Present participle	Standard
agitato	Adjective	Standard
agued	Adjective	Standard
alarmed	Adjective	Standard
all over the place	Adverb	Standard
altered	Past participle	Standard
altering	Present participle	Standard
alters	Verb indicative	Standard
amended	Past participle	Standard
amiss	Adjective	Standard
amok	Adjective	Standard
anagram	Verb imperative	Advanced
anarchic	Adjective	Standard
angrily	Adverb	Standard
angry	Adjective	Standard
animated	Adjective	Standard
animatedly	Adverb	Standard
anyhow	Adverb	Standard
anyway	Adverb	Standard
appalling	Adjective	Standard
appallingly	Adverb	Standard
applied	Adjective	Advanced
around	Adverb	Standard
aroused	Past participle	Standard
arouses	Verb indicative	Standard
arousing	Present participle	Standard
arranged	Past participle	Standard
arrayed	Past participle	Standard
askew	Adjective	Standard
assembled	Past participle	Standard
astray	Adverb	Standard
at sea	Adjective	Standard
atrocious	Adjective	Standard
awful	Adjective	Standard
awfully	Adverb	Standard
awkward	Adjective	Standard
awkwardly	Adverb	Standard
awry	Adjective	Standard
bad	Adjective	Standard
badly	Adverb	Standard
baffling	Adjective	Standard
balmy	Adjective	Advanced
bananas	Adjective	Standard
barbaric	Adjective	Standard
barges	Verb indicative	Advanced
barging	Present participle	Advanced
barking	Adjective	Standard
barmy	Adjective	Standard
baroque	Adjective	Standard
base	Adjective	Standard
bats	Adjective	Standard
batted	Past participle	Advanced
battered	Past participle	Standard
batty	Adjective	Standard
beaten	Past participle	Standard
beaten up	Past participle	Standard
bedevilled	Past participle	Standard
bedlam	Adjective	Advanced
befuddled	Past participle	Standard
belaboured	Past participle	Advanced
belted	Past participle	Standard
bemused	Adjective	Standard
bending	Present participle	Standard
bendy	Adjective	Standard
bent	Adjective	Standard
berserk	Adjective	Standard
bespoke	Adjective	Standard
bewildered	Adjective	Standard
bizarre	Adjective	Standard
bizarrely	Adverb	Standard
blast	Verb imperative	Standard
blasted	Adjective	Standard
blazing	Adjective	Standard
blended with	Past participle	Standard
blessed	Past participle	Advanced
blighted	Adjective	Standard
blown up	Past participle	Standard
blows up	Verb indicative	Standard
blundering	Adjective	Standard
blunders	Verb indicative	Standard
