text	other	variety 	type
aboard		Insertion	Standard
about		Containment	Standard
absorbed by		Insertion	Standard
absorbing	absorbs	Containment	Standard
accepted by		Insertion	Standard
accepting	accepts	Containment	Standard
accommodated by		Insertion	Standard
accommodating	accommodates	Containment	Standard
admitted by		Insertion	Standard
admitting	admits	Containment	Standard
adopted by		Insertion	Standard
adopting	adopts	Containment	Standard
ambient		Insertion	Advanced
amid	amidst	Insertion	Standard
among		Insertion	Standard
apprehended by		Insertion	Standard
apprehending	apprehends	Containment	Standard
around		Containment	Standard
arrested by		Insertion	Standard
arresting	arrests	Containment	Standard
assuming	assumes/assumed by	Containment	Advanced
assuming	assumes/assumed by	Insertion	Advanced
bagged by		Insertion	Standard
bagging	bags	Containment	Standard
bailing	bails	Containment	Advanced
bathed in		Insertion	Standard
bathing	bathes	Containment	Standard
bearing	bears	Containment	Standard
bedded		Insertion	Advanced
bedded in		Insertion	Standard
bedding	beds	Containment	Advanced
beset by	beset with	Insertion	Standard
besetting	besets	Containment	Standard
besieged by		Insertion	Standard
besieging	besieges	Containment	Standard
biting	bites	Containment	Standard
bitten by		Insertion	Standard
blankets		Containment	Standard
boarded by		Containment	Standard
boarding	boards	Insertion	Standard
bones		Containment	Advanced
bored by		Containment	Standard
boring	bores	Insertion	Standard
borne by		Insertion	Standard
bottled by		Insertion	Standard
bottling	bottles	Containment	Standard
bounded by		Insertion	Standard
bounding	bounds	Containment	Standard
boxed by		Insertion	Standard
boxing	boxes	Containment	Standard
bracketed by		Insertion	Standard
bracketing	brackets	Containment	Standard
breaking	breaks	Insertion	Advanced
broken by		Containment	Advanced
bunged by		Containment	Standard
bunging	bungs	Insertion	Standard
buried in		Insertion	Standard
burying	buries	Containment	Standard
canned by		Insertion	Standard
cans		Containment	Standard
captured by		Insertion	Standard
capturing	captures	Containment	Standard
carried by		Insertion	Standard
carrying	carries	Containment	Standard
cased by		Insertion	Standard
casing	cases	Containment	Standard
catching	catches	Containment	Standard
caught by	caught in	Insertion	Standard
chaps		Insertion	Advanced
charged with		Containment	Standard
charging	charges	Insertion	Standard
checked by		Insertion	Standard
checking	checks	Containment	Standard
choked by		Insertion	Standard
choking	chokes	Containment	Standard
circled by		Insertion	Standard
circling	circles	Containment	Standard
circumvented by		Insertion	Standard
circumventing	circumvents	Containment	Standard
clasped by		Insertion	Standard
clasping	clasps	Containment	Standard
clenched in		Insertion	Standard
clenching	clenches	Containment	Standard
clings to	clinging to	Containment	Standard
clipped by		Insertion	Standard
clipping	clips	Containment	Standard
closed by		Insertion	Standard
closing in	closes in	Containment	Standard
clothed by	clothed in	Insertion	Standard
clothing	clothes	Containment	Standard
clutched by		Insertion	Standard
clutching	clutches	Containment	Standard
collared by		Insertion	Standard
collaring	collars	Containment	Standard
compasses		Containment	Advanced
comprehended by		Insertion	Advanced
comprehending	comprehends	Containment	Advanced
compressed in		Insertion	Standard
compressing	compresses	Containment	Standard
comprised by		Insertion	Standard
comprising	comprises	Containment	Advanced
confined in		Insertion	Standard
confining	confines	Containment	Standard
conserved by		Insertion	Standard
conserving	conserves	Containment	Standard
constrained by		Insertion	Standard
constraining	constrains	Containment	Standard
consumed by		Insertion	Standard
consuming	consumes	Containment	Standard
contained by	contained in	Insertion	Standard
containing	contains	Containment	Standard
covered by	covered in	Insertion	Standard
covering	covers	Containment	Standard
cracked by		Containment	Advanced
cracking	cracks	Insertion	Advanced
cramped by		Insertion	Standard
cramping	cramps	Containment	Standard
crashed by	gatecrashed by	Containment	Standard
crashes	gatecrashes	Insertion	Advanced
cribbed by		Insertion	Advanced
cribbing	cribs	Containment	Advanced
crossed by		Insertion	Advanced
crossing	crosses	Containment	Advanced
crowding	crowds	Containment	Advanced
crushed by		Insertion	Standard
crushing	crushes	Containment	Standard
cuddled by		Insertion	Standard
cuddling	cuddles	Containment	Standard
cups		Containment	Advanced
curbed by		Insertion	Standard
curbing	curbs	Containment	Standard
cutting	cuts	Insertion	Standard
detained by		Insertion	Standard
detaining	detains	Containment	Standard
devoured by		Insertion	Standard
devouring	devours	Containment	Standard
digested by		Insertion	Standard
digesting	digests	Containment	Standard
divided by		Containment	Standard
dividing	divides	Insertion	Standard
dons		Insertion	Standard
drawing in	draws in	Containment	Standard
drawn in by		Insertion	Standard
drilled by		Containment	Standard
drilling	drills	Insertion	Standard
drinking	drinks	Containment	Standard
drunk		Insertion	Standard
eaten by		Insertion	Standard
eating	eats	Containment	Standard
edged by		Insertion	Standard
edging	edges	Containment	Standard
embedded in		Insertion	Standard
embedding	embeds	Containment	Advanced
embodied by		Insertion	Standard
embodying	embodies	Containment	Standard
embraced by		Insertion	Standard
embracing	embraces	Containment	Standard
encapsulated by		Insertion	Standard
encapsulating	encapsulates	Containment	Standard
encircled by		Insertion	Standard
encircling	encircles	Containment	Standard
enclosed by	enclosed in	Insertion	Standard
enclosing	encloses	Containment	Standard
encompassed by		Insertion	Standard
encompassing	encompasses	Containment	Standard
enfolded by	enfolded in	Insertion	Standard
enfolding	enfolds	Containment	Standard
engaged in		Insertion	Standard
engulfed by		Insertion	Standard
engulfing	engulfs	Containment	Standard
ensnared in		Insertion	Standard
ensnaring	ensnares	Containment	Standard
entered by		Containment	Standard
entering	enters	Insertion	Standard
entertained by		Insertion	Standard
entertaining	entertains	Containment	Standard
enthralled by		Insertion	Standard
enthralling	enthralls	Containment	Standard
enveloped by		Insertion	Standard
enveloping	envelops	Containment	Standard
environs		Containment	Advanced
externally		Containment	Standard
extra		Containment	Advanced
fed to		Insertion	Standard
fenced by		Insertion	Standard
fencing	fences	Containment	Standard
filled with	filled by	Containment	Standard
filling	fills	Insertion	Standard
flanked by		Insertion	Standard
flanking	flanks	Containment	Standard
folded in		Insertion	Advanced
folding	folds	Containment	Advanced
found in		Insertion	Standard
framed by		Insertion	Standard
framing	frames	Containment	Standard
getting around	getting about	Containment	Standard
getting hold of	gets hold of	Containment	Standard
getting into	gets into	Insertion	Standard
gobbled by		Insertion	Standard
gobbling	gobbles	Containment	Standard
going around	going about	Containment	Standard
going into	goes into	Insertion	Standard
grabbed by		Insertion	Standard
grabbing	grabs	Containment	Standard
grasped by		Insertion	Standard
grasping	grasps	Containment	Standard
griping	gripes	Containment	Advanced
gripped by		Insertion	Standard
gripping	grips	Containment	Standard
guarded by		Insertion	Standard
guarding	guards	Containment	Standard
gulped by		Insertion	Standard
gulping	gulps	Containment	Standard
harboured by		Insertion	Standard
harbouring	harbours	Containment	Standard
hedged by		Insertion	Standard
hedging	hedges	Containment	Advanced
held by	held in	Insertion	Standard
hemming	hems	Containment	Standard
hidden by	hiding in	Insertion	Standard
hiding	hides	Containment	Standard
holding	holds	Containment	Standard
hosted by		Insertion	Standard
hosting	hosts	Containment	Standard
housed in		Insertion	Standard
housing	houses	Containment	Standard
hugged by		Insertion	Standard
hugging	hugs	Containment	Standard
implicated by		Insertion	Advanced
implicating	implicates	Containment	Advanced
imprisoned in		Insertion	Standard
imprisoning	imprisons	Containment	Standard
in	inside	Insertion	Standard
included in		Insertion	Standard
including	includes	Containment	Standard
incorporated in		Insertion	Standard
incorporating	incorporates	Containment	Standard
infiltrated by		Containment	Standard
infiltrating	infiltrates	Insertion	Standard
inhabited by		Containment	Standard
inhabiting	inhabits	Insertion	Standard
inhibited by		Insertion	Standard
inhibiting	inhibits	Containment	Standard
injected with		Containment	Standard
Inspired by	inspiring/inspires	Insertion	Standard
inspired with	inspired by	Containment	Advanced
inspiring	inspires	Containment	Advanced
installed in		Insertion	Standard
installing	installs	Containment	Standard
interred in		Insertion	Standard
interrupted by		Containment	Standard
interrupting	interrupts	Insertion	Standard
intervening		Insertion	Standard
