text	other	variety	type
a lot of		Reduction - last letter	Standard
abandoning	abandoned/abandons	Departure	Standard
abandoning	abandons	Expulsion	Standard
abject		Departure	Advanced
abrupt		Reduction - last letter	Standard
almost	almost entirely	Reduction - last letter	Standard
avoiding	avoids	Expulsion	Standard
avoiding	avoided/avoids	Departure	Standard
away	away from	Departure	Standard
axed		Departure	Standard
axing	axes	Expulsion	Standard
banished		Departure	Standard
banishing	banishes	Expulsion	Standard
bar		Expulsion	Standard
belted out		Departure	Standard
belting out	belts out	Expulsion	Standard
binned		Departure	Standard
bins		Expulsion	Standard
blanked out		Departure	Standard
blanking out	blanks out	Expulsion	Standard
blotted out		Departure	Standard
blotting	blots	Expulsion	Standard
blowing	blown/blows	Departure	Standard
blowing	blows	Expulsion	Standard
blues		Expulsion	Advanced
bounced		Departure	Standard
bouncing	bounces	Expulsion	Standard
boundless		Reduction - both ends	Standard
brushing off	brushing aside	Expulsion	Standard
bulk of		Reduction - last letter	Standard
but for		Expulsion	Standard
bypassed		Departure	Standard
bypassing	bypasses	Expulsion	Standard
cancelled		Departure	Standard
cancelling	cancels	Expulsion	Standard
cashiered		Departure	Standard
cast out		Departure	Standard
casting out	casts out	Expulsion	Standard
ceded		Departure	Standard
ceding	cedes	Expulsion	Standard
chucked	chucked out	Departure	Standard
chucking (out)	chucks (out)	Expulsion	Standard
clear of	cleared of	Expulsion	Standard
cleared	cleared out	Departure	Standard
cleft		Departure	Adavnced
clipped		Reduction - last letter	Standard
coming out	comes out	Departure	Standard
concealed		Departure	Standard
concealing	conceals	Expulsion	Standard
conceded		Departure	Standard
conceding	concedes	Expulsion	Standard
consumed		Departure	Standard
covered	covered up	Departure	Standard
covering head(s)		Reduction - first letter(s)	Standard
curt		Reduction - last letter	Standard
curtailed		Reduction - last letter	Standard
cut	cut out	Departure	Standard
cut		Reduction - last letter	Standard
cut by		Expulsion	Standard
cutting	cuts	Expulsion	Standard
declined		Departure	Standard
declining	declines	Expulsion	Standard
deducted		Departure	Standard
deficient in		Expulsion	Standard
deleted		Departure	Standard
deleting	deletes	Expulsion	Standard
delivered		Departure	Standard
delivering	delivers	Expulsion	Standard
denied		Expulsion	Standard
denied opening		Reduction - first letter	Standard
departing	departs	Departure	Standard
deported		Departure	Standard
deporting	deports	Expulsion	Standard
deprived of		Expulsion	Standard
deserted by		Expulsion	Standard
deserting	deserts	Departure	Standard
detached		Departure	Standard
devoid of		Expulsion	Standard
disappearing	disappears	Departure	Standard
discarded		Departure	Standard
discharged		Departure	Standard
discharging	discharges	Expulsion	Standard
discounted		Departure	Standard
discounting	discounts	Expulsion	Standard
disgorged		Departure	Standard
disgorging	disgorges	Expulsion	Standard
disheartened		Reduction - middle letters	Standard
dismissed		Departure	Standard
dismissing	dismisses	Expulsion	Standard
disowned		Departure	Standard
disowning	disowns	Expulsion	Standard
dispatched		Departure	Standard
dispatching	dispatches	Expulsion	Standard
disposed of		Departure	Standard
disposing of	disposes of	Expulsion	Standard
disregarded		Departure	Standard
disregarding	disregards	Expulsion	Standard
ditched		Departure	Standard
ditching	ditches	Expulsion	Standard
divested of		Expulsion	Standard
