text	other	type
aloud		Standard
announced		Standard
articulated		Standard
audible	audibly	Standard
broadcast		Standard
caught		Standard
delivered		Standard
detected by auditors	for auditors	Standard
for audience		Standard
for listener		Standard
gathered	we gather	Standard
heard	we hear	Standard
in audition		Standard
in conversation		Standard
in speech		Standard
made out		Standard
on the radio		Standard
on the telephone		Standard
oral	orally	Standard
overheard		Standard
picked up		Standard
pronounced		Standard
read out	read aloud	Standard
reported	reportedly/in report	Standard
said	so it's said	Standard
sound of	by the sound of it	Standard
spoken		Standard
stated	as stated	Standard
told		Standard
uttered		Standard
verbal	verbally	Standard
